상품번호,코디 페이지 링크,코디 사진 링크,업로드 날짜,코디 이름,조회수,댓글수,성별
33869,https://www.musinsa.com/app/styles/views/33869,//image.musinsa.com/images/style/list/2023061212012800000075502.jpg,23.06.15,바캉스 무드,1803,0,woman
33868,https://www.musinsa.com/app/styles/views/33868,//image.musinsa.com/images/style/list/2023061212005100000025463.jpg,23.06.15,패셔너블한 연출,2463,0,woman
33867,https://www.musinsa.com/app/styles/views/33867,//image.musinsa.com/images/style/list/2023061212001200000038943.jpg,23.06.15,태양 아래 코디,1091,0,woman
33865,https://www.musinsa.com/app/styles/views/33865,//image.musinsa.com/images/style/list/2023061211590300000072140.jpg,23.06.15,스타일리시한 여행,2229,0,woman
33862,https://www.musinsa.com/app/styles/views/33862,//image.musinsa.com/images/style/list/2023061211571300000059398.jpg,23.06.15,여름 데이트 룩,858,0,woman
33861,https://www.musinsa.com/app/styles/views/33861,//image.musinsa.com/images/style/list/2023061211562400000093780.jpg,23.06.15,여름 무드,682,0,woman
33859,https://www.musinsa.com/app/styles/views/33859,//image.musinsa.com/images/style/list/2023061211540400000058357.jpg,23.06.15,크로셰 디테일,705,0,woman
33816,https://www.musinsa.com/app/styles/views/33816,//image.musinsa.com/images/style/list/2023060912471000000031488.jpg,23.06.09,떠나자!,1219,0,woman
33804,https://www.musinsa.com/app/styles/views/33804,//image.musinsa.com/images/style/list/2023060912020100000031492.jpg,23.06.09,완벽한 조합,1633,0,woman
33803,https://www.musinsa.com/app/styles/views/33803,//image.musinsa.com/images/style/list/2023060911590200000033493.jpg,23.06.09,취향 저격!,1266,0,woman
33801,https://www.musinsa.com/app/styles/views/33801,//image.musinsa.com/images/style/list/2023060911523500000055414.jpg,23.06.09,컬러 포인트,1017,0,woman
33763,https://www.musinsa.com/app/styles/views/33763,//image.musinsa.com/images/style/list/2023060713123900000051578.jpg,23.06.13,[박서현 스타일리스트]독보적인 존재감,2563,0,woman
33762,https://www.musinsa.com/app/styles/views/33762,//image.musinsa.com/images/style/list/2023060713101200000083968.jpg,23.06.13,[박서현 스타일리스트]취향 저격,1376,0,woman
33759,https://www.musinsa.com/app/styles/views/33759,//image.musinsa.com/images/style/list/2023060713032400000001746.jpg,23.06.13,[박서현 스타일리스트]여름 휴가,2112,0,woman
